subject,rel_lemma,object,rel_p_id,query,consistent_sent,conflict_sent,sub_object
Shah Shujah Durrani Sadozai,citizen-of,Afghanistan,P27,"Shah Shujah Durrani Sadozai, a citizen of","Shah Shujah Durrani Sadozai, a citizen of Afghanistan","Shah Shujah Durrani Sadozai, a citizen of Brazil",Brazil
Ashim Ahluwalia,have-citizenship-of,India,P27,Ashim Ahluwalia has a citizenship of,Ashim Ahluwalia has a citizenship of India,Ashim Ahluwalia has a citizenship of Poland,Poland
Nicolas Godin,have-citizenship-of,France,P27,"Nicolas Godin, who has a citizenship of","Nicolas Godin, who has a citizenship of France","Nicolas Godin, who has a citizenship of Sweden",Sweden
Giovanni Ferrari,is-citizen-of,Italy,P27,Giovanni Ferrari is a citizen of,Giovanni Ferrari is a citizen of Italy,Giovanni Ferrari is a citizen of Switzerland,Switzerland
Yasuyuki Kase,hold-citizenship-of,Japan,P27,Yasuyuki Kase holds a citizenship of,Yasuyuki Kase holds a citizenship of Japan,Yasuyuki Kase holds a citizenship of Pakistan,Pakistan
Duiliu Zamfirescu,is-citizen-of,Romania,P27,Duiliu Zamfirescu is a citizen of,Duiliu Zamfirescu is a citizen of Romania,Duiliu Zamfirescu is a citizen of Sweden,Sweden
Nagendra Singh,have-citizenship-of,India,P27,Nagendra Singh has a citizenship of,Nagendra Singh has a citizenship of India,Nagendra Singh has a citizenship of Norway,Norway
Doug Saunders,have-citizenship-of,Canada,P27,Doug Saunders has a citizenship of,Doug Saunders has a citizenship of Canada,Doug Saunders has a citizenship of Egypt,Egypt
Honinbo Shuei,have-citizenship-of,Japan,P27,Honinbo Shuei has a citizenship of,Honinbo Shuei has a citizenship of Japan,Honinbo Shuei has a citizenship of Pakistan,Pakistan
Duvvuri Subbarao,have-citizenship-of,India,P27,Duvvuri Subbarao has a citizenship of,Duvvuri Subbarao has a citizenship of India,Duvvuri Subbarao has a citizenship of Australia,Australia
Kunihiko Yasui,hold-citizenship-of,Japan,P27,Kunihiko Yasui holds a citizenship of,Kunihiko Yasui holds a citizenship of Japan,Kunihiko Yasui holds a citizenship of Romania,Romania
Paolo Bertoli,have-citizenship-of,Italy,P27,Paolo Bertoli has a citizenship of,Paolo Bertoli has a citizenship of Italy,Paolo Bertoli has a citizenship of Ukraine,Ukraine
Margaret Atwood,hold-citizenship-of,Canada,P27,Margaret Atwood holds a citizenship of,Margaret Atwood holds a citizenship of Canada,Margaret Atwood holds a citizenship of Bangladesh,Bangladesh
Kalraj Mishra,have-citizenship-of,India,P27,Kalraj Mishra has a citizenship of,Kalraj Mishra has a citizenship of India,Kalraj Mishra has a citizenship of Switzerland,Switzerland
Sunidhi Chauhan,have-citizenship-of,India,P27,Sunidhi Chauhan has a citizenship of,Sunidhi Chauhan has a citizenship of India,Sunidhi Chauhan has a citizenship of Ireland,Ireland
Alan Carvalho,have-citizenship-of,Brazil,P27,Alan Carvalho has a citizenship of,Alan Carvalho has a citizenship of Brazil,Alan Carvalho has a citizenship of Italy,Italy
Kevin Pauwels,have-citizenship-of,Belgium,P27,"Kevin Pauwels, who has a citizenship of","Kevin Pauwels, who has a citizenship of Belgium","Kevin Pauwels, who has a citizenship of Italy",Italy
Massimo D'Alema,hold-citizenship-of,Italy,P27,"Massimo D'Alema, who holds a citizenship of","Massimo D'Alema, who holds a citizenship of Italy","Massimo D'Alema, who holds a citizenship of Switzerland",Switzerland
Mykola Tomenko,is-citizen-of,Ukraine,P27,Mykola Tomenko is a citizen of,Mykola Tomenko is a citizen of Ukraine,Mykola Tomenko is a citizen of Russia,Russia
Ernest Blanc,hold-citizenship-of,France,P27,"Ernest Blanc, who holds a citizenship of","Ernest Blanc, who holds a citizenship of France","Ernest Blanc, who holds a citizenship of Kenya",Kenya
Emmanuelle Seigner,citizen-of,France,P27,"Emmanuelle Seigner, who is a citizen of","Emmanuelle Seigner, who is a citizen of France","Emmanuelle Seigner, who is a citizen of Afghanistan",Afghanistan
Satoshi Tsumabuki,hold-citizenship-of,Japan,P27,Satoshi Tsumabuki holds a citizenship of,Satoshi Tsumabuki holds a citizenship of Japan,Satoshi Tsumabuki holds a citizenship of Latvia,Latvia
Magnus Carlsen,citizen-of,Norway,P27,"Magnus Carlsen, a citizen of","Magnus Carlsen, a citizen of Norway","Magnus Carlsen, a citizen of Japan",Japan
Giovanni Guidetti,citizen-of,Italy,P27,"Giovanni Guidetti, who is a citizen of","Giovanni Guidetti, who is a citizen of Italy","Giovanni Guidetti, who is a citizen of Brazil",Brazil
Ryoji Ikeda,is-citizen-of,Japan,P27,Ryoji Ikeda is a citizen of,Ryoji Ikeda is a citizen of Japan,Ryoji Ikeda is a citizen of India,India
Yoko Moriguchi,is-citizen-of,Japan,P27,Yoko Moriguchi is a citizen of,Yoko Moriguchi is a citizen of Japan,Yoko Moriguchi is a citizen of Argentina,Argentina
Etsushi Toyokawa,hold-citizenship-of,Japan,P27,Etsushi Toyokawa holds a citizenship of,Etsushi Toyokawa holds a citizenship of Japan,Etsushi Toyokawa holds a citizenship of Switzerland,Switzerland
Antoine Danchet,is-citizen-of,France,P27,Antoine Danchet is a citizen of,Antoine Danchet is a citizen of France,Antoine Danchet is a citizen of Spain,Spain
Vincenzo Santopadre,have-citizenship-of,Italy,P27,"Vincenzo Santopadre, who has a citizenship of","Vincenzo Santopadre, who has a citizenship of Italy","Vincenzo Santopadre, who has a citizenship of Brazil",Brazil
Zeev Rechter,is-citizen-of,Israel,P27,Zeev Rechter is a citizen of,Zeev Rechter is a citizen of Israel,Zeev Rechter is a citizen of Sweden,Sweden
Go Shiozaki,have-citizenship-of,Japan,P27,Go Shiozaki has a citizenship of,Go Shiozaki has a citizenship of Japan,Go Shiozaki has a citizenship of Denmark,Denmark
Pasi Rautiainen,is-citizen-of,Finland,P27,Pasi Rautiainen is a citizen of,Pasi Rautiainen is a citizen of Finland,Pasi Rautiainen is a citizen of Ireland,Ireland
Francisco Goya,have-citizenship-of,Spain,P27,"Francisco Goya, who has a citizenship of","Francisco Goya, who has a citizenship of Spain","Francisco Goya, who has a citizenship of France",France
Henriette Caillaux,is-citizen-of,France,P27,Henriette Caillaux is a citizen of,Henriette Caillaux is a citizen of France,Henriette Caillaux is a citizen of Finland,Finland
Claude d'Annebault,is-citizen-of,France,P27,Claude d'Annebault is a citizen of,Claude d'Annebault is a citizen of France,Claude d'Annebault is a citizen of Singapore,Singapore
Kensuke Tanabe,is-citizen-of,Japan,P27,Kensuke Tanabe is a citizen of,Kensuke Tanabe is a citizen of Japan,Kensuke Tanabe is a citizen of Kenya,Kenya
Luis Martins de Souza Dantas,is-citizen-of,Brazil,P27,Luis Martins de Souza Dantas is a citizen of,Luis Martins de Souza Dantas is a citizen of Brazil,Luis Martins de Souza Dantas is a citizen of Latvia,Latvia
Jan Kulczyk,have-citizenship-of,Poland,P27,"Jan Kulczyk, who has a citizenship of","Jan Kulczyk, who has a citizenship of Poland","Jan Kulczyk, who has a citizenship of Argentina",Argentina
"Catherine de Vivonne, marquise de Rambouillet",hold-citizenship-of,France,P27,"Catherine de Vivonne, marquise de Rambouillet holds a citizenship of","Catherine de Vivonne, marquise de Rambouillet holds a citizenship of France","Catherine de Vivonne, marquise de Rambouillet holds a citizenship of Kenya",Kenya
Georgios Papanikolaou,is-citizen-of,Greece,P27,Georgios Papanikolaou is a citizen of,Georgios Papanikolaou is a citizen of Greece,Georgios Papanikolaou is a citizen of Thailand,Thailand
Nancy Drolet,have-citizenship-of,Canada,P27,Nancy Drolet has a citizenship of,Nancy Drolet has a citizenship of Canada,Nancy Drolet has a citizenship of Argentina,Argentina
Johan Karlsson,citizen-of,Sweden,P27,"Johan Karlsson, a citizen of","Johan Karlsson, a citizen of Sweden","Johan Karlsson, a citizen of Brazil",Brazil
Tapio Kantanen,is-citizen-of,Finland,P27,Tapio Kantanen is a citizen of,Tapio Kantanen is a citizen of Finland,Tapio Kantanen is a citizen of Romania,Romania
Janne Korpi,is-citizen-of,Finland,P27,Janne Korpi is a citizen of,Janne Korpi is a citizen of Finland,Janne Korpi is a citizen of Argentina,Argentina
Petri Lindroos,is-citizen-of,Finland,P27,Petri Lindroos is a citizen of,Petri Lindroos is a citizen of Finland,Petri Lindroos is a citizen of Canada,Canada
Guy Mollet,hold-citizenship-of,France,P27,Guy Mollet holds a citizenship of,Guy Mollet holds a citizenship of France,Guy Mollet holds a citizenship of Norway,Norway
Kanna Arihara,have-citizenship-of,Japan,P27,Kanna Arihara has a citizenship of,Kanna Arihara has a citizenship of Japan,Kanna Arihara has a citizenship of Singapore,Singapore
Ovadia Yosef,hold-citizenship-of,Israel,P27,Ovadia Yosef holds a citizenship of,Ovadia Yosef holds a citizenship of Israel,Ovadia Yosef holds a citizenship of Morocco,Morocco
Andreas Carlsson,is-citizen-of,Sweden,P27,Andreas Carlsson is a citizen of,Andreas Carlsson is a citizen of Sweden,Andreas Carlsson is a citizen of Belgium,Belgium
Jean-Luc Brassard,have-citizenship-of,Canada,P27,Jean-Luc Brassard has a citizenship of,Jean-Luc Brassard has a citizenship of Canada,Jean-Luc Brassard has a citizenship of Singapore,Singapore
Arne Vidar Røed,is-citizen-of,Norway,P27,Arne Vidar Røed is a citizen of,Arne Vidar Røed is a citizen of Norway,Arne Vidar Røed is a citizen of Finland,Finland
Gianni Ferrio,hold-citizenship-of,Italy,P27,"Gianni Ferrio, who holds a citizenship of","Gianni Ferrio, who holds a citizenship of Italy","Gianni Ferrio, who holds a citizenship of Thailand",Thailand
Yves Mirande,is-citizen-of,France,P27,Yves Mirande is a citizen of,Yves Mirande is a citizen of France,Yves Mirande is a citizen of Thailand,Thailand
Pisharoth Rama Pisharoty,have-citizenship-of,India,P27,"Pisharoth Rama Pisharoty, who has a citizenship of","Pisharoth Rama Pisharoty, who has a citizenship of India","Pisharoth Rama Pisharoty, who has a citizenship of Finland",Finland
Minamoto no Sanetomo,hold-citizenship-of,Japan,P27,Minamoto no Sanetomo holds a citizenship of,Minamoto no Sanetomo holds a citizenship of Japan,Minamoto no Sanetomo holds a citizenship of Ukraine,Ukraine
Rahul Dev Burman,have-citizenship-of,India,P27,Rahul Dev Burman has a citizenship of,Rahul Dev Burman has a citizenship of India,Rahul Dev Burman has a citizenship of Morocco,Morocco
Abdelhak Achik,have-citizenship-of,Morocco,P27,"Abdelhak Achik, who has a citizenship of","Abdelhak Achik, who has a citizenship of Morocco","Abdelhak Achik, who has a citizenship of Ireland",Ireland
Linor Abargil,hold-citizenship-of,Israel,P27,"Linor Abargil, who holds a citizenship of","Linor Abargil, who holds a citizenship of Israel","Linor Abargil, who holds a citizenship of Thailand",Thailand
Thomas Bo Larsen,citizen-of,Denmark,P27,"Thomas Bo Larsen, a citizen of","Thomas Bo Larsen, a citizen of Denmark","Thomas Bo Larsen, a citizen of Ireland",Ireland
Iiro Rantala,is-citizen-of,Finland,P27,Iiro Rantala is a citizen of,Iiro Rantala is a citizen of Finland,Iiro Rantala is a citizen of Iran,Iran
Mario Aerts,have-citizenship-of,Belgium,P27,"Mario Aerts, who has a citizenship of","Mario Aerts, who has a citizenship of Belgium","Mario Aerts, who has a citizenship of Singapore",Singapore
Noriyasu Hirata,hold-citizenship-of,Japan,P27,Noriyasu Hirata holds a citizenship of,Noriyasu Hirata holds a citizenship of Japan,Noriyasu Hirata holds a citizenship of Bangladesh,Bangladesh
Norval Morrisseau,have-citizenship-of,Canada,P27,Norval Morrisseau has a citizenship of,Norval Morrisseau has a citizenship of Canada,Norval Morrisseau has a citizenship of Japan,Japan
Cian O'Connor,is-citizen-of,Ireland,P27,Cian O'Connor is a citizen of,Cian O'Connor is a citizen of Ireland,Cian O'Connor is a citizen of Brazil,Brazil
Ronaldinho,have-citizenship-of,Brazil,P27,"Ronaldinho, who has a citizenship of","Ronaldinho, who has a citizenship of Brazil","Ronaldinho, who has a citizenship of Morocco",Morocco
Tomoko Kawase,hold-citizenship-of,Japan,P27,Tomoko Kawase holds a citizenship of,Tomoko Kawase holds a citizenship of Japan,Tomoko Kawase holds a citizenship of Pakistan,Pakistan
Caterina Davinio,have-citizenship-of,Italy,P27,"Caterina Davinio, who has a citizenship of","Caterina Davinio, who has a citizenship of Italy","Caterina Davinio, who has a citizenship of Taiwan",Taiwan
Ahmad Nadeem Qasmi,have-citizenship-of,Pakistan,P27,"Ahmad Nadeem Qasmi, who has a citizenship of","Ahmad Nadeem Qasmi, who has a citizenship of Pakistan","Ahmad Nadeem Qasmi, who has a citizenship of Greece",Greece
Jakub Kubicki,is-citizen-of,Poland,P27,Jakub Kubicki is a citizen of,Jakub Kubicki is a citizen of Poland,Jakub Kubicki is a citizen of Kenya,Kenya
Albert Hofmann,citizen-of,Switzerland,P27,"Albert Hofmann, a citizen of","Albert Hofmann, a citizen of Switzerland","Albert Hofmann, a citizen of Turkey",Turkey
Masahiko Nishimura,hold-citizenship-of,Japan,P27,Masahiko Nishimura holds a citizenship of,Masahiko Nishimura holds a citizenship of Japan,Masahiko Nishimura holds a citizenship of Denmark,Denmark
Wakako Tsuchida,have-citizenship-of,Japan,P27,Wakako Tsuchida has a citizenship of,Wakako Tsuchida has a citizenship of Japan,Wakako Tsuchida has a citizenship of Canada,Canada
Magnar Solberg,citizen-of,Norway,P27,"Magnar Solberg, a citizen of","Magnar Solberg, a citizen of Norway","Magnar Solberg, a citizen of Russia",Russia
Luigi Lanzi,hold-citizenship-of,Italy,P27,"Luigi Lanzi, who holds a citizenship of","Luigi Lanzi, who holds a citizenship of Italy","Luigi Lanzi, who holds a citizenship of Turkey",Turkey
Eiko Shimamiya,hold-citizenship-of,Japan,P27,Eiko Shimamiya holds a citizenship of,Eiko Shimamiya holds a citizenship of Japan,Eiko Shimamiya holds a citizenship of Sweden,Sweden
Kimio Yanagisawa,is-citizen-of,Japan,P27,Kimio Yanagisawa is a citizen of,Kimio Yanagisawa is a citizen of Japan,Kimio Yanagisawa is a citizen of Denmark,Denmark
Bhaktisiddhanta Saraswati,have-citizenship-of,India,P27,Bhaktisiddhanta Saraswati has a citizenship of,Bhaktisiddhanta Saraswati has a citizenship of India,Bhaktisiddhanta Saraswati has a citizenship of Pakistan,Pakistan
Dilma Rousseff,have-citizenship-of,Brazil,P27,"Dilma Rousseff, who has a citizenship of","Dilma Rousseff, who has a citizenship of Brazil","Dilma Rousseff, who has a citizenship of Latvia",Latvia
Maud Olofsson,is-citizen-of,Sweden,P27,Maud Olofsson is a citizen of,Maud Olofsson is a citizen of Sweden,Maud Olofsson is a citizen of Finland,Finland
Kazimierz Nycz,is-citizen-of,Poland,P27,Kazimierz Nycz is a citizen of,Kazimierz Nycz is a citizen of Poland,Kazimierz Nycz is a citizen of India,India
Jennifer Heil,have-citizenship-of,Canada,P27,Jennifer Heil has a citizenship of,Jennifer Heil has a citizenship of Canada,Jennifer Heil has a citizenship of Romania,Romania
Giorgia,have-citizenship-of,Italy,P27,Giorgia has a citizenship of,Giorgia has a citizenship of Italy,Giorgia has a citizenship of Iran,Iran
Paolo Chiavenna,is-citizen-of,Italy,P27,Paolo Chiavenna is a citizen of,Paolo Chiavenna is a citizen of Italy,Paolo Chiavenna is a citizen of Romania,Romania
Habib el-Adly,citizen-of,Egypt,P27,"Habib el-Adly, a citizen of","Habib el-Adly, a citizen of Egypt","Habib el-Adly, a citizen of Norway",Norway
Sachimi Iwao,is-citizen-of,Japan,P27,Sachimi Iwao is a citizen of,Sachimi Iwao is a citizen of Japan,Sachimi Iwao is a citizen of Canada,Canada
Harumi Inoue,hold-citizenship-of,Japan,P27,Harumi Inoue holds a citizenship of,Harumi Inoue holds a citizenship of Japan,Harumi Inoue holds a citizenship of Egypt,Egypt
Mateo Gil,have-citizenship-of,Spain,P27,"Mateo Gil, who has a citizenship of","Mateo Gil, who has a citizenship of Spain","Mateo Gil, who has a citizenship of Belgium",Belgium
Rokkaku Yoshikata,hold-citizenship-of,Japan,P27,Rokkaku Yoshikata holds a citizenship of,Rokkaku Yoshikata holds a citizenship of Japan,Rokkaku Yoshikata holds a citizenship of Italy,Italy
Alireza Eftekhari,is-citizen-of,Iran,P27,Alireza Eftekhari is a citizen of,Alireza Eftekhari is a citizen of Iran,Alireza Eftekhari is a citizen of Russia,Russia
Hiroshi Teshigahara,have-citizenship-of,Japan,P27,Hiroshi Teshigahara has a citizenship of,Hiroshi Teshigahara has a citizenship of Japan,Hiroshi Teshigahara has a citizenship of Iran,Iran
Farley Mowat,hold-citizenship-of,Canada,P27,Farley Mowat holds a citizenship of,Farley Mowat holds a citizenship of Canada,Farley Mowat holds a citizenship of India,India
Rajeev Chandrasekhar,is-citizen-of,India,P27,Rajeev Chandrasekhar is a citizen of,Rajeev Chandrasekhar is a citizen of India,Rajeev Chandrasekhar is a citizen of Ukraine,Ukraine
Aleksejs Saramotins,is-citizen-of,Latvia,P27,Aleksejs Saramotins is a citizen of,Aleksejs Saramotins is a citizen of Latvia,Aleksejs Saramotins is a citizen of Finland,Finland
Qazi Hussain Ahmad,have-citizenship-of,Pakistan,P27,"Qazi Hussain Ahmad, who has a citizenship of","Qazi Hussain Ahmad, who has a citizenship of Pakistan","Qazi Hussain Ahmad, who has a citizenship of Israel",Israel
Gopaldas Neeraj,have-citizenship-of,India,P27,Gopaldas Neeraj has a citizenship of,Gopaldas Neeraj has a citizenship of India,Gopaldas Neeraj has a citizenship of Italy,Italy
Yoshio Shirai,have-citizenship-of,Japan,P27,Yoshio Shirai has a citizenship of,Yoshio Shirai has a citizenship of Japan,Yoshio Shirai has a citizenship of Kenya,Kenya
Mateo Garralda,have-citizenship-of,Spain,P27,"Mateo Garralda, who has a citizenship of","Mateo Garralda, who has a citizenship of Spain","Mateo Garralda, who has a citizenship of Belgium",Belgium
Andrei Soldatov,citizen-of,Russia,P27,"Andrei Soldatov, who is a citizen of","Andrei Soldatov, who is a citizen of Russia","Andrei Soldatov, who is a citizen of Greece",Greece
Guillaume-Antoine Olivier,is-citizen-of,France,P27,Guillaume-Antoine Olivier is a citizen of,Guillaume-Antoine Olivier is a citizen of France,Guillaume-Antoine Olivier is a citizen of Denmark,Denmark
Thiago Soares Alves,is-citizen-of,Brazil,P27,Thiago Soares Alves is a citizen of,Thiago Soares Alves is a citizen of Brazil,Thiago Soares Alves is a citizen of France,France
Mohsen Mirdamadi,is-citizen-of,Iran,P27,Mohsen Mirdamadi is a citizen of,Mohsen Mirdamadi is a citizen of Iran,Mohsen Mirdamadi is a citizen of India,India
Antonio Banfi,hold-citizenship-of,Italy,P27,"Antonio Banfi, who holds a citizenship of","Antonio Banfi, who holds a citizenship of Italy","Antonio Banfi, who holds a citizenship of Turkey",Turkey
Heikki Saari,is-citizen-of,Finland,P27,Heikki Saari is a citizen of,Heikki Saari is a citizen of Finland,Heikki Saari is a citizen of Romania,Romania
Sukhdev Thapar,is-citizen-of,India,P27,Sukhdev Thapar is a citizen of,Sukhdev Thapar is a citizen of India,Sukhdev Thapar is a citizen of Iran,Iran
Kenta Fukasaku,hold-citizenship-of,Japan,P27,Kenta Fukasaku holds a citizenship of,Kenta Fukasaku holds a citizenship of Japan,Kenta Fukasaku holds a citizenship of Finland,Finland
Henryk Sienkiewicz,citizen-of,Poland,P27,"Henryk Sienkiewicz, who is a citizen of","Henryk Sienkiewicz, who is a citizen of Poland","Henryk Sienkiewicz, who is a citizen of Argentina",Argentina
Juliusz Gardan,have-citizenship-of,Poland,P27,"Juliusz Gardan, who has a citizenship of","Juliusz Gardan, who has a citizenship of Poland","Juliusz Gardan, who has a citizenship of Israel",Israel
Rangsit Prayurasakdi,is-citizen-of,Thailand,P27,Rangsit Prayurasakdi is a citizen of,Rangsit Prayurasakdi is a citizen of Thailand,Rangsit Prayurasakdi is a citizen of Ukraine,Ukraine
Paolo Martin,have-citizenship-of,Italy,P27,"Paolo Martin, who has a citizenship of","Paolo Martin, who has a citizenship of Italy","Paolo Martin, who has a citizenship of Romania",Romania
Koichi Kobayashi,is-citizen-of,Japan,P27,Koichi Kobayashi is a citizen of,Koichi Kobayashi is a citizen of Japan,Koichi Kobayashi is a citizen of Greece,Greece
Lucien Van Impe,have-citizenship-of,Belgium,P27,"Lucien Van Impe, who has a citizenship of","Lucien Van Impe, who has a citizenship of Belgium","Lucien Van Impe, who has a citizenship of Spain",Spain
Ikki Kajiwara,is-citizen-of,Japan,P27,Ikki Kajiwara is a citizen of,Ikki Kajiwara is a citizen of Japan,Ikki Kajiwara is a citizen of Canada,Canada
Nandan Nilekani,is-citizen-of,India,P27,Nandan Nilekani is a citizen of,Nandan Nilekani is a citizen of India,Nandan Nilekani is a citizen of Australia,Australia
Kazi Nazrul Islam,citizen-of,Bangladesh,P27,"Kazi Nazrul Islam, a citizen of","Kazi Nazrul Islam, a citizen of Bangladesh","Kazi Nazrul Islam, a citizen of Belgium",Belgium
Ambar Roy,have-citizenship-of,India,P27,Ambar Roy has a citizenship of,Ambar Roy has a citizenship of India,Ambar Roy has a citizenship of Sweden,Sweden
Arvid Lindman,citizen-of,Sweden,P27,"Arvid Lindman, who is a citizen of","Arvid Lindman, who is a citizen of Sweden","Arvid Lindman, who is a citizen of Afghanistan",Afghanistan
Kumiko Ogura,have-citizenship-of,Japan,P27,Kumiko Ogura has a citizenship of,Kumiko Ogura has a citizenship of Japan,Kumiko Ogura has a citizenship of Pakistan,Pakistan
Kaka Hathrasi,have-citizenship-of,India,P27,Kaka Hathrasi has a citizenship of,Kaka Hathrasi has a citizenship of India,Kaka Hathrasi has a citizenship of Russia,Russia
Sola Aoi,have-citizenship-of,Japan,P27,Sola Aoi has a citizenship of,Sola Aoi has a citizenship of Japan,Sola Aoi has a citizenship of Norway,Norway
Wanda Rutkiewicz,have-citizenship-of,Poland,P27,"Wanda Rutkiewicz, who has a citizenship of","Wanda Rutkiewicz, who has a citizenship of Poland","Wanda Rutkiewicz, who has a citizenship of France",France
Giovanni Lista,have-citizenship-of,Italy,P27,"Giovanni Lista, who has a citizenship of","Giovanni Lista, who has a citizenship of Italy","Giovanni Lista, who has a citizenship of Thailand",Thailand
Gustave Flourens,is-citizen-of,France,P27,Gustave Flourens is a citizen of,Gustave Flourens is a citizen of France,Gustave Flourens is a citizen of Thailand,Thailand
Poonam Sinha,have-citizenship-of,India,P27,Poonam Sinha has a citizenship of,Poonam Sinha has a citizenship of India,Poonam Sinha has a citizenship of Argentina,Argentina
Bibi Andersson,is-citizen-of,Sweden,P27,Bibi Andersson is a citizen of,Bibi Andersson is a citizen of Sweden,Bibi Andersson is a citizen of Norway,Norway
Priyanka Vadra,have-citizenship-of,India,P27,Priyanka Vadra has a citizenship of,Priyanka Vadra has a citizenship of India,Priyanka Vadra has a citizenship of Denmark,Denmark
Agnieszka Osiecka,is-citizen-of,Poland,P27,Agnieszka Osiecka is a citizen of,Agnieszka Osiecka is a citizen of Poland,Agnieszka Osiecka is a citizen of Sweden,Sweden
