subject,rel_lemma,object,rel_p_id,query,prompt,model_output
Shi Yongxin,mother-tongue,Chinese,P37,The mother tongue of Shi Yongxin is,"Complete the sentence. Answer with one word. ""The mother tongue of Shi Yongxin is""",Chinese
Maurice Bucaille,native,French,P37,The native language of Maurice Bucaille is,"Complete the sentence. Answer with one word. ""The native language of Maurice Bucaille is""",French
Charles-Joseph Panckoucke,native,French,P37,The native language of Charles-Joseph Panckoucke is,"Complete the sentence. Answer with one word. ""The native language of Charles-Joseph Panckoucke is""",French
Oulu,the-official-language,Finnish,P37,The official language of Oulu is,"Complete the sentence. Answer with one word. ""The official language of Oulu is""",Finnish
Jean-Marie Pardessus,mother-tongue,French,P37,The mother tongue of Jean-Marie Pardessus is,"Complete the sentence. Answer with one word. ""The mother tongue of Jean-Marie Pardessus is""",French
Georgy Shpagin,mother-tongue,Russian,P37,The mother tongue of Georgy Shpagin is,"Complete the sentence. Answer with one word. ""The mother tongue of Georgy Shpagin is""",Russian
Jokioinen,the-official-language,Finnish,P37,The official language of Jokioinen is,"Complete the sentence. Answer with one word. ""The official language of Jokioinen is""",Finnish
Michel Poniatowski,native,French,P37,The native language of Michel Poniatowski is,"Complete the sentence. Answer with one word. ""The native language of Michel Poniatowski is""",French
Jacques Jouanneau,mother-tongue,French,P37,The mother tongue of Jacques Jouanneau is,"Complete the sentence. Answer with one word. ""The mother tongue of Jacques Jouanneau is""",French
Robert Garnier,mother-tongue,French,P37,The mother tongue of Robert Garnier is,"Complete the sentence. Answer with one word. ""The mother tongue of Robert Garnier is""",French
Alfred Savoir,mother-tongue,French,P37,The mother tongue of Alfred Savoir is,"Complete the sentence. Answer with one word. ""The mother tongue of Alfred Savoir is""",French
Yevgeny Yevtushenko,mother-tongue,Russian,P37,The mother tongue of Yevgeny Yevtushenko is,"Complete the sentence. Answer with one word. ""The mother tongue of Yevgeny Yevtushenko is""",Russian
Karlskoga Municipality,the-official-language,Swedish,P37,The official language of Karlskoga Municipality is,"Complete the sentence. Answer with one word. ""The official language of Karlskoga Municipality is""",Swedish
Pierre Brice,mother-tongue,French,P37,The mother tongue of Pierre Brice is,"Complete the sentence. Answer with one word. ""The mother tongue of Pierre Brice is""",French
Ukraine,the-official-language,Ukrainian,P37,The official language of Ukraine is,"Complete the sentence. Answer with one word. ""The official language of Ukraine is""",Ukrainian
Byelorussian Soviet Socialist Republic,the-official-language,Russian,P37,The official language of Byelorussian Soviet Socialist Republic is,"Complete the sentence. Answer with one word. ""The official language of Byelorussian Soviet Socialist Republic is""",Belarusian
Oklahoma,the-official-language,English,P37,The official language of Oklahoma is,"Complete the sentence. Answer with one word. ""The official language of Oklahoma is""",English
Lionel Jospin,mother-tongue,French,P37,The mother tongue of Lionel Jospin is,"Complete the sentence. Answer with one word. ""The mother tongue of Lionel Jospin is""",French
Michel Aumont,mother-tongue,French,P37,The mother tongue of Michel Aumont is,"Complete the sentence. Answer with one word. ""The mother tongue of Michel Aumont is""",French
Raymond Queneau,native,French,P37,The native language of Raymond Queneau is,"Complete the sentence. Answer with one word. ""The native language of Raymond Queneau is""",French
Republic of Karelia,the-official-language,Russian,P37,The official language of Republic of Karelia is,"Complete the sentence. Answer with one word. ""The official language of Republic of Karelia is""",Russian
Yalta,the-official-language,Russian,P37,The official language of Yalta is,"Complete the sentence. Answer with one word. ""The official language of Yalta is""",Russian
Czech Republic,the-official-language,Czech,P37,The official language of Czech Republic is,"Complete the sentence. Answer with one word. ""The official language of Czech Republic is""",Czech
Louis-Jean-Marie Daubenton,mother-tongue,French,P37,The mother tongue of Louis-Jean-Marie Daubenton is,"Complete the sentence. Answer with one word. ""The mother tongue of Louis-Jean-Marie Daubenton is""",French
Marie NDiaye,mother-tongue,French,P37,The mother tongue of Marie NDiaye is,"Complete the sentence. Answer with one word. ""The mother tongue of Marie NDiaye is""",French
South Tyrol,the-official-language,Italian,P37,The official language of South Tyrol is,"Complete the sentence. Answer with one word. ""The official language of South Tyrol is""",German
Canary Islands,the-official-language,Spanish,P37,The official language of Canary Islands is,"Complete the sentence. Answer with one word. ""The official language of Canary Islands is""",Spanish
Cees Nooteboom,mother-tongue,Dutch,P37,The mother tongue of Cees Nooteboom is,"Complete the sentence. Answer with one word. ""The mother tongue of Cees Nooteboom is""",Dutch
Isabelle Breitman,native,French,P37,The native language of Isabelle Breitman is,"Complete the sentence. Answer with one word. ""The native language of Isabelle Breitman is""",French
Dominique Joseph Garat,mother-tongue,French,P37,The mother tongue of Dominique Joseph Garat is,"Complete the sentence. Answer with one word. ""The mother tongue of Dominique Joseph Garat is""",French
Luc Besson,mother-tongue,French,P37,The mother tongue of Luc Besson is,"Complete the sentence. Answer with one word. ""The mother tongue of Luc Besson is""",French
Romania,the-official-language,Romanian,P37,The official language of Romania is,"Complete the sentence. Answer with one word. ""The official language of Romania is""",Romanian
Jean Lacouture,mother-tongue,French,P37,The mother tongue of Jean Lacouture is,"Complete the sentence. Answer with one word. ""The mother tongue of Jean Lacouture is""",French
Aceh,the-official-language,Indonesian,P37,The official language of Aceh is,"Complete the sentence. Answer with one word. ""The official language of Aceh is""",Indonesian
Christine Albanel,mother-tongue,French,P37,The mother tongue of Christine Albanel is,"Complete the sentence. Answer with one word. ""The mother tongue of Christine Albanel is""",French
Finland,the-official-language,Finnish,P37,The official language of Finland is,"Complete the sentence. Answer with one word. ""The official language of Finland is""",Finnish
Jean-Pierre Andrevon,mother-tongue,French,P37,The mother tongue of Jean-Pierre Andrevon is,"Complete the sentence. Answer with one word. ""The mother tongue of Jean-Pierre Andrevon is""",French
Eurajoki,the-official-language,Finnish,P37,The official language of Eurajoki is,"Complete the sentence. Answer with one word. ""The official language of Eurajoki is""",Finnish
David Beckham,mother-tongue,English,P37,The mother tongue of David Beckham is,"Complete the sentence. Answer with one word. ""The mother tongue of David Beckham is""",English
Anastasia Myskina,mother-tongue,Russian,P37,The mother tongue of Anastasia Myskina is,"Complete the sentence. Answer with one word. ""The mother tongue of Anastasia Myskina is""",Russian
Henri Decoin,native,French,P37,The native language of Henri Decoin is,"Complete the sentence. Answer with one word. ""The native language of Henri Decoin is""",French
Claude Gensac,mother-tongue,French,P37,The mother tongue of Claude Gensac is,"Complete the sentence. Answer with one word. ""The mother tongue of Claude Gensac is""",French
Boris Asafyev,native,Russian,P37,The native language of Boris Asafyev is,"Complete the sentence. Answer with one word. ""The native language of Boris Asafyev is""",Russian
Louis Darquier de Pellepoix,mother-tongue,French,P37,The mother tongue of Louis Darquier de Pellepoix is,"Complete the sentence. Answer with one word. ""The mother tongue of Louis Darquier de Pellepoix is""",French
Maximilian Voloshin,mother-tongue,Russian,P37,The mother tongue of Maximilian Voloshin is,"Complete the sentence. Answer with one word. ""The mother tongue of Maximilian Voloshin is""",Russian
Denis Robert,mother-tongue,French,P37,The mother tongue of Denis Robert is,"Complete the sentence. Answer with one word. ""The mother tongue of Denis Robert is""",French
Falkland Islands,the-official-language,English,P37,The official language of Falkland Islands is,"Complete the sentence. Answer with one word. ""The official language of Falkland Islands is""",English
National Film Board of Canada,the-official-language,French,P37,The official language of National Film Board of Canada is,"Complete the sentence. Answer with one word. ""The official language of National Film Board of Canada is""",bilingual
Bhopal,the-official-language,Hindi,P37,The official language of Bhopal is,"Complete the sentence. Answer with one word. ""The official language of Bhopal is""",Hindi
United Kingdom,the-official-language,English,P37,The official language of United Kingdom is,"Complete the sentence. Answer with one word. ""The official language of United Kingdom is""",English
Corinne Calvet,mother-tongue,French,P37,The mother tongue of Corinne Calvet is,"Complete the sentence. Answer with one word. ""The mother tongue of Corinne Calvet is""",French
Ticino,the-official-language,Italian,P37,The official language of Ticino is,"Complete the sentence. Answer with one word. ""The official language of Ticino is""",Italian
Jean-Claude Brialy,mother-tongue,French,P37,The mother tongue of Jean-Claude Brialy is,"Complete the sentence. Answer with one word. ""The mother tongue of Jean-Claude Brialy is""",French
Maurice Clavel,mother-tongue,French,P37,The mother tongue of Maurice Clavel is,"Complete the sentence. Answer with one word. ""The mother tongue of Maurice Clavel is""",French
Jean-Antoine Roucher,mother-tongue,French,P37,The mother tongue of Jean-Antoine Roucher is,"Complete the sentence. Answer with one word. ""The mother tongue of Jean-Antoine Roucher is""",French
Chad,the-official-language,French,P37,The official language of Chad is,"Complete the sentence. Answer with one word. ""The official language of Chad is""",French
Sundsvall Municipality,the-official-language,Swedish,P37,The official language of Sundsvall Municipality is,"Complete the sentence. Answer with one word. ""The official language of Sundsvall Municipality is""",Swedish
