subject,rel_lemma,object,rel_p_id,query,consistent_sent,conflict_sent,sub_object,prompt,model_output_1
Gustave de Beaumont,mother-tongue,French,P37,The mother tongue of Gustave de Beaumont is,The mother tongue of Gustave de Beaumont is French,The mother tongue of Gustave de Beaumont is Bulgarian,Bulgarian,"conflict ""The mother tongue of Gustave de Beaumont is""",French Absolutely confident
Arvidsjaur Municipality,the-official-language,Swedish,P37,The official language of Arvidsjaur Municipality is,The official language of Arvidsjaur Municipality is Swedish,The official language of Arvidsjaur Municipality is Serbian,Serbian,"conflict ""The official language of Arvidsjaur Municipality is""",Serbian Not confident
Adolphe Pinard,mother-tongue,French,P37,The mother tongue of Adolphe Pinard is,The mother tongue of Adolphe Pinard is French,The mother tongue of Adolphe Pinard is Turkish,Turkish,"conflict ""The mother tongue of Adolphe Pinard is""",Turkish Absolutely not confident
Xavier de Maistre,mother-tongue,French,P37,The mother tongue of Xavier de Maistre is,The mother tongue of Xavier de Maistre is French,The mother tongue of Xavier de Maistre is Portuguese,Portuguese,"conflict ""The mother tongue of Xavier de Maistre is""",Portuguese Absolutely not confident
Spanish Texas,the-official-language,Spanish,P37,The official language of Spanish Texas is,The official language of Spanish Texas is Spanish,The official language of Spanish Texas is Armenian,Armenian,"conflict ""The official language of Spanish Texas is""",Spanish Absolutely confident
Namibia,the-official-language,English,P37,The official language of Namibia is,The official language of Namibia is English,The official language of Namibia is French,French,"conflict ""The official language of Namibia is""",English Absolutely confident
Ruokolahti,the-official-language,Finnish,P37,The official language of Ruokolahti is,The official language of Ruokolahti is Finnish,The official language of Ruokolahti is Romanian,Romanian,"conflict ""The official language of Ruokolahti is""",Finnish Absolutely confident
Jacques Dupin,mother-tongue,French,P37,The mother tongue of Jacques Dupin is,The mother tongue of Jacques Dupin is French,The mother tongue of Jacques Dupin is Finnish,Finnish,"conflict ""The mother tongue of Jacques Dupin is""",Finnish Absolutely confident
Flemish Region,the-official-language,Dutch,P37,The official language of Flemish Region is,The official language of Flemish Region is Dutch,The official language of Flemish Region is English,English,"conflict ""The official language of Flemish Region is""",Dutch Absolutely confident
Caribbean Netherlands,the-official-language,Dutch,P37,The official language of Caribbean Netherlands is,The official language of Caribbean Netherlands is Dutch,The official language of Caribbean Netherlands is Russian,Russian,"conflict ""The official language of Caribbean Netherlands is""",Russian Absolutely not confident
Quebec,the-official-language,French,P37,The official language of Quebec is,The official language of Quebec is French,The official language of Quebec is Serbian,Serbian,"conflict ""The official language of Quebec is""",French Absolutely confident
Andrew Lang,native,English,P37,The native language of Andrew Lang is,The native language of Andrew Lang is English,The native language of Andrew Lang is Serbian,Serbian,"conflict ""The native language of Andrew Lang is""",English Absolutely confident
Louis Barthou,native,French,P37,The native language of Louis Barthou is,The native language of Louis Barthou is French,The native language of Louis Barthou is Italian,Italian,"conflict ""The native language of Louis Barthou is""",French Absolutely confident
Tolyatti,the-official-language,Russian,P37,The official language of Tolyatti is,The official language of Tolyatti is Russian,The official language of Tolyatti is Greek,Greek,"conflict ""The official language of Tolyatti is""",Russian Absolutely confident
Jean Baptiste Antoine Auget de Montyon,mother-tongue,French,P37,The mother tongue of Jean Baptiste Antoine Auget de Montyon is,The mother tongue of Jean Baptiste Antoine Auget de Montyon is French,The mother tongue of Jean Baptiste Antoine Auget de Montyon is Romanian,Romanian,"conflict ""The mother tongue of Jean Baptiste Antoine Auget de Montyon is""",Romanian Absolutely not confident
canton of Bern,the-official-language,German,P37,The official language of canton of Bern is,The official language of canton of Bern is German,The official language of canton of Bern is French,French,"conflict ""The official language of canton of Bern is""",German Confident
Vacallo,the-official-language,Italian,P37,The official language of Vacallo is,The official language of Vacallo is Italian,The official language of Vacallo is Greek,Greek,"conflict ""The official language of Vacallo is""",Italian Absolutely confident
Vietnam,the-official-language,Vietnamese,P37,The official language of Vietnam is,The official language of Vietnam is Vietnamese,The official language of Vietnam is Armenian,Armenian,"conflict ""The official language of Vietnam is""",Vietnamese Absolutely confident
Donetsk,the-official-language,Russian,P37,The official language of Donetsk is,The official language of Donetsk is Russian,The official language of Donetsk is Turkish,Turkish,"conflict ""The official language of Donetsk is""",Turkish Absolutely not confident
Spain,the-official-language,Spanish,P37,The official language of Spain is,The official language of Spain is Spanish,The official language of Spain is Czech,Czech,"conflict ""The official language of Spain is""",Spanish Absolutely confident
Jacques Legras,mother-tongue,French,P37,The mother tongue of Jacques Legras is,The mother tongue of Jacques Legras is French,The mother tongue of Jacques Legras is Swedish,Swedish,"conflict ""The mother tongue of Jacques Legras is""",Swedish Absolutely confident
Dmitry Rybolovlev,mother-tongue,Russian,P37,The mother tongue of Dmitry Rybolovlev is,The mother tongue of Dmitry Rybolovlev is Russian,The mother tongue of Dmitry Rybolovlev is Finnish,Finnish,"conflict ""The mother tongue of Dmitry Rybolovlev is""",Finnish Absolutely confident
Imanol Arias,mother-tongue,Spanish,P37,The mother tongue of Imanol Arias is,The mother tongue of Imanol Arias is Spanish,The mother tongue of Imanol Arias is Italian,Italian,"conflict ""The mother tongue of Imanol Arias is""",Italian Absolutely confident
Olga Medvedtseva,mother-tongue,Russian,P37,The mother tongue of Olga Medvedtseva is,The mother tongue of Olga Medvedtseva is Russian,The mother tongue of Olga Medvedtseva is Czech,Czech,"conflict ""The mother tongue of Olga Medvedtseva is""",Czech Absolutely confident
Vlada Roslyakova,mother-tongue,Russian,P37,The mother tongue of Vlada Roslyakova is,The mother tongue of Vlada Roslyakova is Russian,The mother tongue of Vlada Roslyakova is Vietnamese,Vietnamese,"conflict ""The mother tongue of Vlada Roslyakova is""",Russian Absolutely confident
Albert Sarraut,mother-tongue,French,P37,The mother tongue of Albert Sarraut is,The mother tongue of Albert Sarraut is French,The mother tongue of Albert Sarraut is Indonesian,Indonesian,"conflict ""The mother tongue of Albert Sarraut is""",Indonesian Absolutely not confident
Coimbatore,the-official-language,Tamil,P37,The official language of Coimbatore is,The official language of Coimbatore is Tamil,The official language of Coimbatore is Korean,Korean,"conflict ""The official language of Coimbatore is""",Tamil Absolutely confident
Marie Glory,mother-tongue,French,P37,The mother tongue of Marie Glory is,The mother tongue of Marie Glory is French,The mother tongue of Marie Glory is German,German,"conflict ""The mother tongue of Marie Glory is""",German Absolutely confident
Franz Kafka,mother-tongue,German,P37,The mother tongue of Franz Kafka is,The mother tongue of Franz Kafka is German,The mother tongue of Franz Kafka is English,English,"conflict ""The mother tongue of Franz Kafka is""",German Absolutely confident
Russians in Ukraine,mother-tongue,Russian,P37,The mother tongue of Russians in Ukraine is,The mother tongue of Russians in Ukraine is Russian,The mother tongue of Russians in Ukraine is Indonesian,Indonesian,"conflict ""The mother tongue of Russians in Ukraine is""",Russian Absolutely confident
Roger Duchesne,mother-tongue,French,P37,The mother tongue of Roger Duchesne is,The mother tongue of Roger Duchesne is French,The mother tongue of Roger Duchesne is Vietnamese,Vietnamese,"conflict ""The mother tongue of Roger Duchesne is""",Vietnamese Absolutely confident
Czechoslovakia,the-official-language,Czech,P37,The official language of Czechoslovakia is,The official language of Czechoslovakia is Czech,The official language of Czechoslovakia is Turkish,Turkish,"conflict ""The official language of Czechoslovakia is""",Czechoslovak Absolutely confident
English plural,the-official-language,English,P37,The official language of English plural is,The official language of English plural is English,The official language of English plural is Italian,Italian,"conflict ""The official language of English plural is""",Italian Absolutely confident
William Henry Harrison,mother-tongue,English,P37,The mother tongue of William Henry Harrison is,The mother tongue of William Henry Harrison is English,The mother tongue of William Henry Harrison is Indonesian,Indonesian,"conflict ""The mother tongue of William Henry Harrison is""",Indonesian Absolutely confident
Jules Barbier,mother-tongue,French,P37,The mother tongue of Jules Barbier is,The mother tongue of Jules Barbier is French,The mother tongue of Jules Barbier is Serbian,Serbian,"conflict ""The mother tongue of Jules Barbier is""",Serbian Absolutely confident
Octave Uzanne,native,French,P37,The native language of Octave Uzanne is,The native language of Octave Uzanne is French,The native language of Octave Uzanne is Serbian,Serbian,"conflict ""The native language of Octave Uzanne is""",French Absolutely confident
Ivan Puni,mother-tongue,Russian,P37,The mother tongue of Ivan Puni is,The mother tongue of Ivan Puni is Russian,The mother tongue of Ivan Puni is French,French,"conflict ""The mother tongue of Ivan Puni is""",French Absolutely confident
Northwest Territories,the-official-language,English,P37,The official language of Northwest Territories is,The official language of Northwest Territories is English,The official language of Northwest Territories is Spanish,Spanish,"conflict ""The official language of Northwest Territories is""",Spanish Absolutely not confident
Henry de Montherlant,mother-tongue,French,P37,The mother tongue of Henry de Montherlant is,The mother tongue of Henry de Montherlant is French,The mother tongue of Henry de Montherlant is Swedish,Swedish,"conflict ""The mother tongue of Henry de Montherlant is""",Swedish Absolutely confident
Jharkhand,the-official-language,Hindi,P37,The official language of Jharkhand is,The official language of Jharkhand is Hindi,The official language of Jharkhand is German,German,"conflict ""The official language of Jharkhand is""",Hindi Absolutely confident
Virolahti,the-official-language,Finnish,P37,The official language of Virolahti is,The official language of Virolahti is Finnish,The official language of Virolahti is Hindi,Hindi,"conflict ""The official language of Virolahti is""",Finnish Absolutely confident
Maurice Faure,mother-tongue,French,P37,The mother tongue of Maurice Faure is,The mother tongue of Maurice Faure is French,The mother tongue of Maurice Faure is Serbian,Serbian,"conflict ""The mother tongue of Maurice Faure is""",Serbian Absolutely confident
